0,sigma1,sigma2,sigma3,sigma4,vix
20190425,0.259492149,0.239855208,0.209358703,0.185448795,25.61233564
20190426,0.251490331,0.233401891,0.205532233,0.188244557,24.74049038
20190429,0.248073408,0.231882377,0.204611823,0.181180388,24.1941392
20190430,0.251290543,0.234911032,0.203358078,0.180617837,24.43120891
20190506,0.295650894,0.244751429,0.207620104,0.179232359,26.21168488
20190507,0.25970848,0.22912041,0.199220839,0.183233332,23.82609017
20190508,0.273241576,0.2317781,0.19568121,0.180233023,24.29523718
20190509,0.282602904,0.245814351,0.199917182,0.176819664,25.44739131
20190510,0.302969175,0.246423797,0.205052877,0.185077232,25.83801392
20190513,0.293972154,0.242534344,0.200892215,0.180376616,24.92679571
20190514,0.277859256,0.237066551,0.197837904,0.178607833,24.14147188
20190515,0.250937991,0.223880667,0.194911543,0.178297378,22.61644071
20190516,0.2179159,0.190443557,0.1758932,,23.12015358
20190517,0.214825317,0.185344485,0.169757326,,22.76201016
20190520,0.211402879,0.180695917,0.162469887,,22.05511742
20190521,0.205916444,0.178831984,0.164011348,,21.28619687
20190522,0.198626126,0.175731981,0.159784221,,20.35440264
20190523,0.204643349,0.195158457,0.17955879,0.161468833,20.73607138
20190524,0.20560431,0.19735018,0.180313317,0.162652453,20.73589485
20190527,0.216588317,0.201795773,0.186818994,0.167396825,21.65883166
20190528,0.209841007,0.196544218,0.183962864,0.165776203,20.89654856
20190529,0.202790344,0.195394745,0.180010308,0.165627837,20.18199226
