0,sigma1,sigma2,sigma3,sigma4,vix
20200904,0.272811193949811,0.2483211017573851,0.234801052245195,0.21305418784564784,25.924115195360464
20200907,0.2837904260751054,0.25274853947461406,0.23751904170759452,0.2130704292129369,26.308075254312907
20200908,0.2751777337510682,0.24988596896754386,0.2380002640673951,0.21366665018630654,25.736593118387148
20200909,0.28758113280108205,0.2585387553359643,0.24258772354445302,0.21568892305103443,26.61960024622813
20200910,0.26613530007362096,0.24534082326767517,0.23302373084208713,0.21029791159628747,25.012477092445135
20200911,0.24123277947818694,0.2378717573168817,0.2292015040446429,0.20758925969861564,23.852846269712323
20200914,0.2301295198872602,0.2254465353841515,0.22355080731978372,0.20332765333456448,22.60136168232708
20200915,0.21951410451090358,0.22147855339023523,0.2203361223952113,0.20171837742204635,22.12847575260517
20200916,0.21186527551676704,0.21425624380107644,0.21511000817702167,0.19803686481619281,21.40659491014632
20200917,,0.2150102650544634,0.21569384473899675,0.19871770503323552,21.45749798106462
20200918,,0.22831223339625703,0.2250254636172339,0.20778839881311573,23.016931593864676
20200921,,0.2323577892616256,0.22633231327711434,0.20669295890945374,23.46510704896897
20200922,,0.2342558479532784,0.22684151228259217,0.20610857175873945,23.66412886613635
20200923,0.22792241390223006,0.2239198139959281,0.20342444243259428,,22.899441186779733
20200924,0.23966593425676877,0.23617910406693274,0.2295211079519018,0.20758508812024828,24.06857211967005
20200925,0.24303341257605238,0.2431807400358784,0.23622152904834656,0.21071576103834105,24.300130438717442
20200928,0.25555915083321634,0.25569167654970903,0.24357509019799634,0.2168432202953414,25.555915083321633
20200929,0.2674309338759286,0.2636534552115557,0.2483481272775678,0.2195543463009984,26.717629406725823
20200930,0.2751554898313736,0.2597939299622945,0.2431226711972553,0.21388298618318874,27.315720000114318
20201009,0.21620445572893796,0.22869680415246382,0.22883938489749953,0.20717083465282904,22.39756641525494
20201012,0.24205914260192832,0.24071936337936053,0.2403547552011331,0.21641539634382587,24.107736587136415
20201013,0.23232825724025916,0.241853356510917,0.23684404876358808,0.2099236426445288,23.967591320850428
20201014,0.22261987431816013,0.23461681994902853,0.23243660709194042,0.21033954236075372,23.226700895883294
20201015,0.2228152909080459,0.2399119346140602,0.2357173303886317,0.21347560153853365,23.708852513957254
20201016,0.21639960620733711,0.2386558947079826,0.23610001658321628,0.21266229467743575,23.560518004246507
20201019,0.21975250355938836,0.22798294513964598,0.23132928112022932,0.20974653260424664,22.737599640353913
20201020,0.21481331732849035,0.22140113185172772,0.22674440198042975,0.20650345934291692,22.102997480728412
20201021,0.2146857805022955,0.22317691888020624,0.226798102040878,0.20678098693968977,22.282958156867597
20201022,,0.2248380648520162,0.22791286463141522,0.20860553117091932,22.39221940864386
20201023,,0.22895048287824044,0.2301847444364291,0.2097624571437288,22.868070644634695
20201026,,0.22868987825151163,0.22734407621183206,0.20577637831533968,22.86898782515116
20201027,,0.2300146209597981,0.22391296927690818,0.20519469218660583,22.960570851092907
20201028,,0.22598428347025223,0.22273234396775743,0.20254947612953034,22.555340047404382
20201029,0.22278483810155997,0.22375438590238766,0.20393670507881648,0.19547272653483527,22.29756177122658
20201030,0.2316679613334005,0.22663057616920548,0.20645549051682596,0.19267789305499505,23.038315380567944
20201102,0.23946114488219808,0.23255664357259498,0.2084948200610002,0.19698400477915903,23.655135752498374
20201103,0.23811782923903876,0.2340909299805581,0.20989232495516266,0.19782921404687118,23.620882020629622
20201104,0.22069639343099387,0.22224891016366455,0.2036672210485122,0.19102537224895771,22.15128214597962
20201105,0.21535849250127329,0.2175589743224394,0.20267461863524344,0.19285931640973814,21.661864782878236
20201106,0.20968241340688765,0.21416638975155475,0.2002991471525951,0.19154721413931433,21.245339307675593
20201109,0.22349454257797963,0.2241945066146423,0.2027727818106721,0.19366956019229808,22.40080633975145
20201110,0.2200969284198715,0.22220706644129118,0.20258056002264666,0.19289946349317527,22.171900286194436
20201111,0.21425252946688822,0.21720733105979864,0.19878593458006152,0.18974267705571776,21.66195951650929
20201112,0.2050354634706584,0.2118934432304407,0.1981515252251879,0.18957927275489286,21.074171680076947
20201113,0.19342098017848658,0.2061216743723997,0.19431718775603124,0.18677253353838025,20.435562261120616
20201116,0.20066870998873973,0.20390682818498762,0.19429616950719286,0.1863443638999838,20.366575515920264
20201117,0.19965343876237066,0.2005874522264912,0.19236634221162166,0.18422283488959318,20.05341972199591
20201118,0.21095800663492892,0.20580490702165233,0.19566904207515542,0.18747614504058632,20.602219286905463
20201119,,0.2102378431976485,0.19821759988557194,0.18953533817984994,21.236565013804213
20201120,,0.20089095532485476,0.19376109120594684,0.18670739972870862,20.184300072058107
20201123,,0.21432164281741076,0.2005805400875997,0.19020546097828547,21.432164281741077
20201124,,0.20767253603675603,0.1985204394146982,0.18949695052082677,20.727873713316256
20201125,,0.20368102696741497,0.19680826904255147,0.18914181886164225,20.309111790924298
20201126,0.19396315570882194,0.1883128025797851,0.19229119041757,0.18546619084759144,19.29742942366396
20201127,0.20006445752809082,0.19282789938988187,0.19186276297045887,0.18228195550126208,19.840636164647968
20201130,0.20901677540442293,0.1975216152024871,0.19570568903707988,0.1865164152085703,20.46485584643449
20201201,0.23754755036139574,0.21555596082360773,0.200831491765771,0.18788986177392633,22.82573399893578
20201202,0.24427940399298875,0.2232932239362699,0.20657037125956415,0.1938737036590548,23.444060399746846
20201203,0.2402113133737201,0.22326469379171945,0.20811102535305892,0.19481794271277927,23.148928897984607
20201204,0.22964804981727785,0.21973552251472422,0.20578409734990724,0.19275406817706947,22.409425977575808
20201207,0.2197459513118263,0.20755507833685033,0.1978664182897719,0.1893137705703439,21.15326115927839
20201208,0.21175891264014018,0.19905605566648996,0.1952658933654333,0.18685942176068504,20.276666415667215
20201209,0.19981933308837074,0.19529569468604605,0.19252117121768464,0.18417550369525829,19.645153498897862
20201210,0.1906559484691036,0.18741784423026067,0.18882904902887465,0.18013259542515905,18.814430495863494
20201211,0.19481799811750702,0.1926401938265673,0.18861224813802818,0.18151006593597327,19.306523286052034
20201214,0.19574580510599981,0.18401015026885945,0.18603728505928482,0.17847531926031476,18.545764362711925
20201215,0.1911320436099179,0.1849906676470293,0.18609754762950914,0.17842614349936964,18.56080232615969
20201216,0.19864589442170916,0.1842783586007683,0.18582931358758986,0.178269267199055,18.546872427003418
20201217,,0.18806322955246715,0.18871867317684313,0.18022174484747544,18.764575603214674
20201218,,0.18149401785107133,0.18606338630767066,0.178009272914384,17.883053781078615
20201221,,0.19325004328122009,0.19015390735032475,0.18302133570644538,19.44365427148084
20201222,,0.19304945290487618,0.1911940617296002,0.18284911027186726,19.365520151930802
20201223,,0.19123284430214696,0.1910598536064666,0.18384155765893478,19.12796690250311
20201224,0.18396123395308178,0.1801631928614211,0.18826951857204627,0.18178686882135855,18.506765772710924
20201225,0.18263895434657723,0.1790413271986648,0.18666957339704962,0.1810243997477318,18.34133619853173
20201228,0.1860610790973189,0.18096420239699373,0.18836746165754445,0.18261688594991216,18.60610790973189
20201229,0.19051615310684406,0.18535483759951935,0.19204729170496287,0.18549659684171585,19.017035126252956
20201230,0.1927109208542481,0.18428147412537513,0.1932608013302832,0.18594312073196353,19.1608421983663
20201231,0.2029981299658659,0.19692294539279026,0.19730845699327815,0.1831316073203385,20.18192236205827
20210104,0.21251918753201166,0.20099109534889187,0.2016903225158425,0.18521463836525864,20.769794555769145
20210105,0.21081958755696034,0.19926458324140106,0.19750065953692783,0.1840303594084771,20.5398291922495
20210106,0.23270446749639997,0.21108438880687244,0.20729862817651987,0.1943362431846693,22.161706939111593
20210107,0.2707010394088472,0.2307931076077288,0.21727410698009272,0.19568129172106974,24.868195186624032
20210108,0.2655589989705912,0.23891142514089006,0.22817330964988816,0.20498552305285905,24.949506835058454
20210111,0.23665855379919054,0.22304243200431098,0.21975431890662062,0.1975747057658461,22.67533572796181
20210112,0.2584693332426833,0.23150976771457688,0.2186745259420651,0.19284216074122557,23.804052665467605
20210113,0.25021567315879256,0.23138748302675943,0.22286044583371228,0.1997602847338589,23.527369266458297
20210114,0.23602885902920961,0.23004694395222888,0.2217950284180739,0.19920859021685847,23.107623122214875
20210115,0.2091872341721687,0.21566564352718662,0.2142541902856002,0.1945201008744173,21.47521221343924
20210118,0.21546269683288313,0.21810110652077627,0.21606276313766748,0.19626521012693574,21.790433392926214
20210119,0.21319620105135628,0.2197416115105145,0.21927279972407207,0.1978898874956564,21.937284912419315
20210120,0.19931425062942298,0.2182413936787764,0.21744324080666752,0.19781312563223521,21.748565149468536
20210121,,0.22725945571270983,0.2223236263334909,0.20015470766493412,22.869633326366095
20210122,,0.21769194509010817,0.21543142063615228,0.19820247597833285,21.818130952702866
20210125,,0.22684330034743774,0.22157219471586842,0.2001522060996466,22.684330034743773
20210126,,0.22366484254312868,0.22131747847476563,0.19997645983848436,22.35063368104474
20210127,,0.2194557864593763,0.21976683323002738,0.19870020821866521,21.94972848294413
20210128,0.2330828492279939,0.23291922366531334,0.20521890341935284,0.18942042609102058,23.305071755920437
20210129,0.23490114168313753,0.23626745232034008,0.20854231819232866,0.19060805877852133,23.525323660737378
20210201,0.2364018552960337,0.23772628035267981,0.20835012490973048,0.19137709116350385,23.69656404210225
20210202,0.21323956436837502,0.22732207713116592,0.20246621280961796,0.18706087575620722,22.005794663748556
20210203,0.19927289803245338,0.2175705587955555,0.19950179262197495,0.18624938680403105,20.907893121149336
20210204,0.2043880778081847,0.22693825747520638,0.2042157495539831,0.18879043457547023,21.756028716982133
20210205,0.20423249658317444,0.2325466983605547,0.2084516494260247,0.1922591254807984,22.20867850697076
20210208,0.20712051990555708,0.23067224961026644,0.20570724460540646,0.18443105920386796,22.463335953009665
20210209,0.20461295777007268,0.22753230085775783,0.2056606376118501,0.19043582094475595,22.242232887822375
20210210,0.22516795510690993,0.23196435743334973,0.19972670611900392,0.1819583637292079,23.062110071929443
20210218,,0.23246331530524592,0.2013407537043785,0.1873512077961311,23.772236069830928
20210219,,0.21447236610401907,0.1938665427737388,0.1828711685154396,21.712885718322244
20210222,,0.23129384428252095,0.19999371955208586,0.18689692593287996,23.12938442825209
20210223,,0.22843320478692752,0.20157718118369594,0.18834899117980702,22.73193973917174
20210224,,0.23929885583095845,0.20848397064387972,0.1942611560946021,23.67720571028501
20210225,0.2247143742504581,0.21751303868554706,0.2057450416240542,0.19138224217855648,22.345562398948054
20210226,0.2524335796439035,0.23149113659665563,0.21663259174892552,0.20013467766370338,24.77249121044685
20210301,0.23923255561277043,0.22674543767236646,0.210952655961624,0.19681156755059914,23.448306924644697
20210302,0.23237561382762614,0.22482810407728082,0.21229825144761136,0.1984198800767904,22.912838035080018
20210303,0.23068793305199195,0.22212503943068887,0.21018303497154533,0.19713686361579866,22.661812722114046
20210304,0.25437591458114234,0.23619466303829056,0.21936688468794163,0.20212176191157072,24.50207150149723
20210305,0.26354898469012805,0.24251914139033587,0.222659000480271,0.2043654364580968,25.186789028378538
20210308,0.29813573495137485,0.2475585653036513,0.23138854980982432,0.19927254470590952,26.47964098682917
20210309,0.28980337090343583,0.24730648296667848,0.23139950449389055,0.20335985985263894,26.015777360251686
20210310,0.2705555584314748,0.24682874189846007,0.22548373130182647,0.2077857339328045,25.305003068134084
20210311,0.24306805792250707,0.23092127016847258,0.21647058464501437,0.20184380659692713,23.36829505451786
20210312,0.22375061698656015,0.22067767643349834,0.2123849708638647,0.2000735935854831,22.127804502792838
20210315,0.24425539928274814,0.22591153005066017,0.21327668541789624,0.19988872951033004,22.819066828006715
20210316,0.23442050882248097,0.22025715354177997,0.20914642767722982,0.1987931896286276,22.170037597483212
20210317,0.24314869942648898,0.22178605827636744,0.21304809198708596,0.20121683441690216,22.35702001536212
20210318,,0.21887723792312427,0.21004905576236446,0.2000186863531822,22.430383885408876
20210319,,0.22611945611239498,0.21067027889854828,0.19739766816431015,23.449100717251095
20210322,,0.21905540154371064,0.20968207523262256,0.20228521252246723,22.25814766568142
20210323,,0.2114582117668008,0.20565370730179197,0.19878634900474354,21.33309372974865
20210324,0.2169287273690552,0.21033649438744692,0.19557510536258704,,21.86799272009695
20210325,0.20874604650920578,0.20353665465762608,0.2073226926600575,0.19212143905077983,21.025938084395275
20210326,0.198679167713191,0.1988143959160367,0.20082446869743933,0.1937713728324388,19.864969507134166
20210329,0.19908534997308702,0.20060237423003072,0.20143874068226564,0.19472779755754066,19.908534997308703
20210330,0.19901940664110493,0.20086967167314254,0.2025577830114729,0.1957153112169301,19.914550402303988
20210331,0.19599282235668944,0.19763487019750875,0.20059471950073313,0.1952719820787552,19.62125560432534
20210401,0.18834005304049478,0.19126943044077138,0.19579422280220954,0.19278065051908683,18.891905136766372
20210402,0.1895382268487233,0.19319617294057062,0.19790327363567561,0.1926019095792863,19.048555074642096
20210406,0.1940223146447497,0.19282034006655602,0.19955365118469992,0.19475593110219425,19.345087721680663
20210407,0.1876657882768363,0.18698339259417704,0.19566248731322822,0.19228590566844406,18.730784052785616
20210408,0.1841929192752229,0.18368931118810644,0.19090850730752354,0.18870001737118075,18.39053120931026
20210409,0.1836903678883113,0.18237010171172005,0.19011345995572776,0.18585523778796656,18.287890337757215
20210412,0.1992221887460178,0.1894596751778465,0.1955866857893512,0.18398467220453313,19.21115258833545
20210413,0.1953370544083963,0.18950169792415447,0.19597891417837254,0.1843343175719335,19.087223493732314
20210414,0.19140155578978435,0.19026626109542388,0.1953066231174028,0.18467193417073655,19.049386132034698
20210415,0.19525337695375136,0.1899229721183076,0.19755082097811336,0.18573099940158572,19.084092585453927
20210416,0.19067715769971988,0.1876346338592707,0.19607259123141052,0.19109773951333628,18.80722936264743
20210419,0.20614779258372315,0.19167725211132486,0.19775916469039517,0.19356480107418816,19.280021974238746
20210420,0.19999710966870518,0.19269574045010546,0.19780669057939243,0.19327548209581213,19.31203980158453
20210421,0.20493107281831482,0.19518972390351472,0.1998918022844084,0.19498590048590844,19.560529942438315
20210422,,0.19503096451024107,0.2001214166216554,0.1962169242659638,19.350246620576048
20210423,,0.19548506873644028,0.199418990623603,0.1969053772694014,19.46174871255721
20210426,,0.20186214147135517,0.20280397697837987,0.19754174353285728,20.186214147135516
20210427,,0.1988523551563124,0.2017944981795885,0.19696181243655828,19.905337590780114
20210428,,0.1949430312247959,0.19835945138198957,0.19475278787772413,19.540200517660686
20210429,0.19283703719977138,0.1986751405442674,0.19376612057840287,0.183071089680688,19.399767383511968
20210430,0.18982200805819202,0.195043181915364,0.1915506296899019,0.17726481892832538,19.11782151837375
20210506,0.19178743192561773,0.18979045751799214,0.18723708865166996,0.174132088140349,19.06488650423021
20210507,0.19030141379507282,0.18899982892693934,0.1863049227588758,0.17879060280985132,18.95013771835166
20210510,0.1906483287957608,0.18647199795399863,0.1835279583785507,0.17621754270483286,18.75947773475198
20210511,0.19253546968740107,0.18909176783165582,0.1872899193077157,0.17950127307052424,18.989676465092913
20210512,0.1920951189469129,0.1921556022098448,0.18933627355258187,0.1806429666793328,19.214350708038044
20210513,0.19599933355301247,0.19369695886947566,0.18952810019603353,0.18133860471167584,19.409083973742955
20210514,0.19216823416021173,0.19450045210364586,0.19137463403844152,0.18130416536899488,19.41689931960558
20210517,0.2097382416647285,0.20253422337279106,0.19453704430830515,0.18369622517373782,20.308338931501524
20210518,0.20581544398727453,0.2003135374180436,0.19286691179408727,0.18327536310644885,20.06319965917733
20210519,0.18294931829082137,0.19755370293001756,0.19389713730493457,0.19077648125084257,19.405086985627857
20210520,,0.19382150211023505,0.19058312127796784,0.18310690690823297,19.44087676078374
20210521,,0.19200726203687027,0.18719048222392048,0.18155694178986898,19.26542914906172
20210524,,0.19292087823501894,0.18636294327982694,0.17887861917117887,19.292087823501895
20210525,,0.20926686072510872,0.19724198306693846,0.17865727880487567,20.875284961772252
20210526,0.21228048793001503,0.19759572348325546,0.18446643761876172,,21.104093876628436
20210527,0.22356521905567867,0.21004147771812734,0.20180700538606142,0.18092801989848728,22.122984461422543
20210528,0.22161286277064138,0.2131690024607503,0.200570721725673,0.18679370551071472,21.96796197124541
20210531,0.22980718349211327,0.21571239522260557,0.20359527757952547,0.18846588878479528,22.446217198800973
20210601,0.22607325319310287,0.21597680629026306,0.20469112218288774,0.19016612226215296,22.174498879991397
20210602,0.21216673495726693,0.20602635896115154,0.19990733121843848,0.18697254495356563,20.92418439541216
20210603,0.20452139459174054,0.20081090670132007,0.19615203925614907,0.18456977442737665,20.25862815843651
20210604,0.20421859566613612,0.20251379945018955,0.1983278201969476,0.18525932593172328,20.32559245850542
20210607,0.21708753110089046,0.205296170993966,0.1985000971066231,0.18540416541599206,20.91417483236825
20210608,0.2243292475133202,0.21090531325919745,0.2014347530563016,0.1878385231607647,21.48263346401945
20210609,0.21183657115007107,0.20490294568328027,0.1982067532750269,0.18605465500635754,20.668146457897123
20210610,0.202060067292694,0.19777894080300823,0.1947617656858446,0.18392890693417674,19.874100652141692
