,,option,position,wind_id,k,p,close,iv,delta,gamma,vega,theta
20200306,close a position,option(delta>0.5),0.8861914858939747,10002071.SH,3.0,0.8861914858939747,0.0387,0.2173009216785431,0.38729472242963303,2.617220393807451,0.257810748412176,-0.56019511695617
20200306,open a position,option(delta<0.25),1.299418349471703,10002072.SH,3.1,0.6497091747358515,0.0138,0.22105559706687927,0.175977524261003,1.7380950460696383,0.1741703372742577,-0.37992557985918674
20200306,open a position,option(delta>0.25),0.7005816505282969,10002071.SH,3.0,0.35029082526414845,0.0387,0.2173009216785431,0.38729472242963303,2.617220393807451,0.257810748412176,-0.56019511695617
20200306,open a position,option(delta<0.5),-0.15691174218801796,10002071.SH,3.0,0.15691174218801796,0.0387,0.2173009216785431,0.38729472242963303,2.617220393807451,0.257810748412176,-0.56019511695617
20200306,open a position,option(delta>0.5),-0.843088257811982,10002070.SH,2.95,0.843088257811982,0.0608,0.2188715636730194,0.5209761923422427,2.7034619849768537,0.2682308730771049,-0.5934388669229309
20200309,close a position,option(delta<0.25),-1.299418349471703,10002072.SH,3.1,0.6497091747358515,0.0066,0.2751023471355438,0.08868065706994643,0.9746843522132815,0.09621020132256802,-0.30683896512748426
20200309,close a position,option(delta>0.25),-0.7005816505282969,10002071.SH,3.0,0.35029082526414845,0.0175,0.26083996891975403,0.20459084662610827,1.8163050242269505,0.16999093313383026,-0.517114714603372
20200309,close a position,option(delta<0.5),0.15691174218801796,10002071.SH,3.0,0.15691174218801796,0.0175,0.26083996891975403,0.20459084662610827,1.8163050242269505,0.16999093313383026,-0.517114714603372
20200309,close a position,option(delta>0.5),0.843088257811982,10002070.SH,2.95,0.843088257811982,0.0292,0.26073554158210754,0.3022959849268488,2.2338586899737285,0.20898675655035892,-0.6382430772597553
20200309,open a position,option(delta<0.25),1.07048586873455,10002071.SH,3.0,0.535242934367275,0.0175,0.26083996891975403,0.20459084662610827,1.8163050242269505,0.16999093313383026,-0.517114714603372
20200309,open a position,option(delta>0.25),0.92951413126545,10002070.SH,2.95,0.464757065632725,0.0292,0.26073554158210754,0.3022959849268488,2.2338586899737285,0.20898675655035892,-0.6382430772597553
20200309,open a position,option(delta<0.5),-0.35852272753907916,10002069.SH,2.9,0.35852272753907916,0.0465,0.2622464597225189,0.41950027137363133,2.4877424555931964,0.234087317915042,-0.7232871864900404
20200309,open a position,option(delta>0.5),-0.6414772724609208,10002068.SH,2.85,0.6414772724609208,0.0701,0.2648007571697235,0.5449914338547974,2.4991127042704053,0.23744766251644067,-0.7469654442901656
20200310,close a position,option(delta<0.25),-1.07048586873455,10002071.SH,3.0,0.535242934367275,0.0331,0.2836584150791168,0.3153747217681062,2.1232543702081164,0.2097396331722426,-0.7415477948215863
20200310,close a position,option(delta>0.25),-0.92951413126545,10002070.SH,2.95,0.464757065632725,0.0514,0.28763648867607117,0.4266198623980903,2.3104358527230646,0.2314305562257654,-0.8337189245842067
20200310,close a position,option(delta<0.5),0.35852272753907916,10002069.SH,2.9,0.35852272753907916,0.0758,0.29338935017585754,0.5426895371704319,2.2910171775147545,0.2340752501256424,-0.865627475531754
20200310,close a position,option(delta>0.5),0.6414772724609208,10002068.SH,2.85,0.6414772724609208,0.1058,0.29890772700309753,0.6529722024842797,2.0933041487720603,0.21789751716631836,-0.8283302690989814
20200310,open a position,option(delta<0.25),0.814282885684933,10002072.SH,3.1,0.4071414428424665,0.0136,0.29285934567451477,0.15480467193065606,1.3776517899011598,0.14050162719852616,-0.5093651723134798
20200310,open a position,option(delta>0.25),1.185717114315067,10002071.SH,3.0,0.5928585571575335,0.0331,0.2836584150791168,0.3153747217681062,2.1232543702081164,0.2097396331722426,-0.7415477948215863
20200310,open a position,option(delta<0.5),-0.36779233899089414,10002070.SH,2.95,0.36779233899089414,0.0514,0.28763648867607117,0.4266198623980903,2.3104358527230646,0.2314305562257654,-0.8337189245842067
20200310,open a position,option(delta>0.5),-0.6322076610091059,10002069.SH,2.9,0.6322076610091059,0.0758,0.29338935017585754,0.5426895371704319,2.2910171775147545,0.2340752501256424,-0.865627475531754
20200311,close a position,option(delta<0.25),-0.814282885684933,10002072.SH,3.1,0.4071414428424665,0.0071,0.28687557578086853,0.09584941955145476,1.0536147939264324,0.0957599991045723,-0.36347420258357527
20200311,close a position,option(delta>0.25),-1.185717114315067,10002071.SH,3.0,0.5928585571575335,0.019,0.27146676182746887,0.22182761009725155,1.9469949278069196,0.16745193925497967,-0.6049434021830368
20200311,close a position,option(delta<0.5),0.36779233899089414,10002070.SH,2.95,0.36779233899089414,0.0317,0.2712685763835907,0.3262550587562715,2.360910897069215,0.20290268018289428,-0.7356194707388025
20200311,close a position,option(delta>0.5),0.6322076610091059,10002069.SH,2.9,0.6322076610091059,0.0512,0.27663782238960266,0.45027046802823684,2.5421573341058585,0.22280384516807666,-0.8283264483607408
